避難所数,計算時間[s],総移動コスト,トラック台数,,,,,,
9,0.14551496505737305,207,3,,,,,,
10,0.45403194427490234,250,4,,,,,,
11,1.0447869300842285,264,4,,,,,,
12,2.9021029472351074,289,4,,,,,,
13,7.020216226577759,294,5,,,,,,
14,17.79401206970215,349,6,,,,,,
15,47.23432683944702,356,6,,,,,,
16,119.95823812484741,390,6,,,,,,
17,285.15882301330566,400,6,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
